Energy;Tempo en  BPM;Danceability;Playlist_genre2;Valence;Track_artist;Track_popularity;Playlist_name;Track_name;Track_album_release_date;Mode;Key;Duration_minutes;Acousticness;Playlist_subgenre2
81%;93;68%;Afrobeats;76%;Tyla;78;Afro Hits;PUSH 2 START;11/10/24;1;2;3;28%;Nigerian
65%;93;74%;Afrobeats;75%;Wizkid, Brent Faiyaz;77;African Heat;Piece of My Heart (feat. Brent Faiyaz);18/10/24;1;1;4;25%;African
79%;113;75%;Afrobeats;90%;Davido, YG Marley;76;African Heat;Awuke;31/10/24;1;5;3;31%;African
87%;118;77%;Afrobeats;93%;Wizkid;75;Afro Hits;Kese (Dance);15/11/24;0;5;3;14%;Nigerian
63%;101;50%;Afrobeats;65%;Asake, Wizkid;72;African Heat;MMS;08/08/24;0;8;4;68%;African
68%;145;50%;Afrobeats;62%;Bnxn, Rema;71;Afro Hits;Fi Kan We Kan;15/10/24;0;6;3;11%;Nigerian
72%;113;90%;Afrobeats;55%;Smur Lee, ODUMODUBLVCK, Shallipopi;71;African Heat;JUJU (feat. Shallipopi);22/08/24;0;6;3;12%;African
82%;110;73%;Afrobeats;64%;Young Jonn;70;African Heat;Stronger;12/04/24;1;8;2;48%;African
53%;112;78%;Afrobeats;44%;Ayo Maff;69;African Heat;Are you there?;15/08/24;1;0;3;51%;African
65%;67;49%;Afrobeats;57%;Ayo Maff, Fireboy DML;68;African Heat;Dealer;16/04/24;1;11;3;71%;African
81%;100;46%;Afrobeats;82%;Darkoo, Rema;68;Afro Hits;Favourite Girl (with Rema);08/08/24;1;8;3;37%;Nigerian
52%;958;58%;Afrobeats;43%;FOLA, Bnxn;68;African Heat;alone - Remix;04/10/24;0;11;3;55%;African
71%;197;37%;Afrobeats;72%;Hyce, BoyPee, Brown Joel;68;African Heat;Constantly;28/08/24;1;11;3;17%;African
84%;147;75%;Afrobeats;84%;Rema;68;African Heat;OZEBA;10/07/24;1;2;2;14%;African
64%;171;57%;Afrobeats;88%;Youka;68;Afro Hits;Hm Hm hm;05/07/24;0;9;2;50%;Nigerian
